"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"
"7515"	"Sag: Das ist okay"	"7515.wav"	"that's okay"	"that's okay"	"correct"	"correct"
"7516"	"Sag: Ich heisse Nick"	"7516.wav"	"my name is nick"	"my name is nick"	"correct"	"correct"
"7517"	"Sag: Ich heisse Nick"	"7517.wav"	"my name is nick"	"my name is nick"	"correct"	"correct"
"7518"	"Sag: Ich heisse Nick"	"7518.wav"	"my name is nick"	"my name is nick"	"correct"	"correct"
"7519"	"Sag: Ich bin aus Italien"	"7519.wav"	"i am from italy"	"i am from italy"	"correct"	"correct"
"7520"	"Frag: 2 Tickets nach London"	"7520.wav"	"i would like two tickets to london"	"i would like two tickets to london"	"correct"	"correct"
"7522"	"Frag: 2 Tickets nach London"	"7522.wav"	"i would like two tickets to london"	"i would like two tickets to london"	"correct"	"correct"
"7523"	"Sag: Ich möchte am Sonntagmorgen abreisen"	"7523.wav"	"i want to leave on sunday morning"	"i want to leave on sunday morning"	"correct"	"correct"
"7524"	"Sag: Ich heisse Barbara"	"7524.wav"	"my name is barbara"	"my name is barbara"	"correct"	"correct"
"7525"	"Sag: Ich bin aus England"	"7525.wav"	"i am from england"	"i am from england"	"correct"	"correct"
"7526"	"Sag: Ich heisse Nick"	"7526.wav"	"my name is nick"	"my name is nick"	"correct"	"correct"
"7527"	"Sag: Ich bin aus Frankreich"	"7527.wav"	"i am from france"	"i am from france"	"correct"	"correct"
"7528"	"Sag: Frankreich ist nicht in Afrika"	"7528.wav"	"france is not in africa"	"france is not in africa"	"correct"	"correct"
"7529"	"Sag: Frankreich ist in Europa"	"7529.wav"	"france is in europe"	"france is in europe"	"correct"	"correct"
"7530"	"Sag: Das ist okay"	"7530.wav"	"that's okay"	"that's okay"	"correct"	"correct"
"7531"	"Sag: Die Hauptstadt von Frankreich ist Paris"	"7531.wav"	"the capital from france is paris"	"the capital from france is paris"	"incorrect"	"correct"
"7532"	"Sag: Ich habe 2 jüngere Schwestern"	"7532.wav"	"i have two younger sisters"	"i have two younger sisters"	"correct"	"correct"
"7533"	"Sag: Ich habe 2 jüngere Schwestern"	"7533.wav"	"i have two younger sisters"	"i have two younger sisters"	"correct"	"correct"
"7534"	"Sag: Ich gehe in die Ferien"	"7534.wav"	"i am going on holidays"	"i am going on holidays"	"incorrect"	"incorrect"
"7535"	"Sag: Dies ist mein Pass"	"7535.wav"	"that's my passport"	"that's my passport"	"correct"	"correct"
"7536"	"Sag: Dies ist mein Pass"	"7536.wav"	"yes it is my passport"	"yes it is my passport"	"correct"	"correct"
"7537"	"Sag: Dies ist mein Pass"	"7537.wav"	"yes it is my passport"	"yes it is my passport"	"correct"	"correct"
"7538"	"Sag: Ich heisse Maddalena"	"7538.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"7539"	"Sag: Ich bin aus der Schweiz"	"7539.wav"	"i'm from switzerland"	"i'm from switzerland"	"correct"	"correct"
"7540"	"Sag: Ich bin aus der Schweiz"	"7540.wav"	"i am from switzerland"	"i am from switzerland"	"correct"	"correct"
"7541"	"Sag: Die Hauptstadt von der Schweiz ist Bern"	"7541.wav"	"the capital from switzerland is bern"	"the capital from switzerland is bern"	"incorrect"	"correct"
"7542"	"Sag: Ich habe 4 ältere Brüder"	"7542.wav"	"i have four older brothers"	"i have four older brothers"	"correct"	"correct"
"7543"	"Sag: Ich habe 4 ältere Brüder"	"7543.wav"	"i have four photo i have four older brothers"	"i have four photo i have four old brothers"	"correct"	"correct"
"7544"	"Sag: Ich habe 4 ältere Brüder"	"7544.wav"	"i have four older brothers"	"i have four older brothers"	"correct"	"correct"
"7545"	"Sag: Ich gehe in die Ferien"	"7545.wav"	"i going on holidays"	"i going on holidays"	"incorrect"	"correct"
"7546"	"Sag: Dies ist mein Pass"	"7546.wav"	"yes this is my passport"	"yes this is my passport"	"correct"	"correct"
"7547"	"Sag: Ich heisse Paolo"	"7547.wav"	"my name is paolo"	"my name is paolo"	"correct"	"correct"
"7548"	"Sag: Ich bin aus Schottland"	"7548.wav"	"i am from scotland"	"i am from scotland"	"correct"	"correct"
"7549"	"Sag: Ich heisse Patrick"	"7549.wav"	"my name is patrick"	"my name is patrick"	"correct"	"correct"
"7550"	"Sag: Ich bin aus Amerika"	"7550.wav"	"i am from america"	"i am from america"	"correct"	"correct"
"7551"	"Sag: Ich heisse Maddalena"	"7551.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"7552"	"Sag: Ich bin aus Portugal"	"7552.wav"	"i am from portugal"	"i am from portugal"	"correct"	"correct"
"7553"	"Sag: Die Hauptstadt von Portugal ist Lissabon"	"7553.wav"	"the capital from portugal is lisbon"	"the capital from portugal is lisbon"	"incorrect"	"correct"
"7554"	"Sag: Ich habe 2 ältere Brüder"	"7554.wav"	"i have two older brothers"	"i have two older brothers"	"correct"	"correct"
"7555"	"Sag: Ich gehe in die Ferien"	"7555.wav"	"i'm going on holidays"	"i'm going on holidays"	"incorrect"	"correct"
"7556"	"Sag: Dies ist mein Pass"	"7556.wav"	"yes this is my passport"	"yes this is my passport"	"correct"	"correct"
"7557"	"Sag: Ich heisse Andrew"	"7557.wav"	"my name is andrew"	"my name is andrew"	"correct"	"correct"
"7558"	"Sag: Ich bin aus Australien"	"7558.wav"	"i am from australia"	"i am from australia*z"	"correct"	"correct"
"7559"	"Sag: Ich heisse Brian"	"7559.wav"	"my name is brian"	"my name is brian"	"correct"	"correct"
"7560"	"Sag: Ich bin aus England"	"7560.wav"	"i am from england"	"i am from england"	"correct"	"correct"
"7561"	"Sag: Ich heisse Brian"	"7561.wav"	"my name is brian"	"my name is brian"	"correct"	"correct"
"7562"	"Sag: Ich bin aus Italien"	"7562.wav"	"i am from italy"	"i am from italy"	"correct"	"correct"
"7563"	"Sag: Die Hauptstadt von Italien ist Rom"	"7563.wav"	"the capital from italy is rome"	"the capital from italy is rome"	"incorrect"	"correct"
"7566"	"Sag: Ich möchte mit Mastercard bezahlen"	"7566.wav"	"can i pay by mastercard"	"can i pay by mastercard"	"correct"	"correct"
"7567"	"Frag: Gibt es ein Fitnessstudio?"	"7567.wav"	"is there a gym"	"is there a gym"	"correct"	"correct"
"7568"	"Frag: Gibt es ein Fitnessstudio?"	"7568.wav"	"is there a gym"	"is there a gym"	"correct"	"correct"
"7569"	"Sag: Ich habe keine Reservation"	"7569.wav"	"no i do not have a reservation"	"no i do not have a reservation"	"correct"	"correct"
"7570"	"Frag: Zimmer für 2 Nächte"	"7570.wav"	"i want a room for two nights"	"i want a room for two nights"	"correct"	"correct"
"7571"	"Frag: Twinzimmer"	"7571.wav"	"a twin room please"	"a twin room please"	"correct"	"correct"
"7573"	"Frag: Zimmer für 6 Nächte"	"7573.wav"	"i want a room for six nights"	"i want a room for six nights"	"correct"	"correct"
"7574"	"Frag: Doppelzimmer"	"7574.wav"	"i would like a double room"	"i would*z like a double room"	"correct"	"correct"
"7575"	"Sag: Ich möchte mit Visa bezahlen"	"7575.wav"	"can i pay with visa"	"can i pay with visa*z"	"correct"	"correct"
"7576"	"Frag: Gibt es einen Lift?"	"7576.wav"	"do you have a lift"	"do you have a lift"	"correct"	"correct"
"7577"	"Frag: Wo ist der Lift?"	"7577.wav"	"where is the lift"	"where is the lift"	"correct"	"correct"
"7578"	"Frag: einen Orangensaft"	"7578.wav"	"i would like an orange juice"	"i would like an orange juice*z"	"correct"	"correct"
"7579"	"Frag: ein Steak"	"7579.wav"	"i want a steak"	"i want a steak"	"correct"	"correct"
"7580"	"Frag: ein Steak"	"7580.wav"	"i want a steak"	"i want a steak"	"correct"	"correct"
"7581"	"Frag: mein Steak durchgebraten"	"7581.wav"	"i would like my steak well done"	"i would like my steak*z well done"	"correct"	"correct"
"7582"	"Frag: Erbsen"	"7582.wav"	"i would like some peas"	"i would like some peas"	"correct"	"correct"
"7583"	"Frag: Ich möchte die Dessertkarte"	"7583.wav"	"the dessert menu please"	"the dessert m*a menu please"	"correct"	"correct"
"7584"	"Frag: Scones"	"7584.wav"	"i would like the scones"	"i would like the scones"	"correct"	"correct"
"7585"	"Frag: Ich möchte die Rechnung"	"7585.wav"	"i would like the check"	"i would*z like the check"	"correct"	"correct"
"7586"	"Frag: Ich möchte die Rechnung"	"7586.wav"	"i would like the check"	"i would*z like the check"	"correct"	"correct"
"7587"	"Sag: Ich möchte mit Postkarte bezahlen"	"7587.wav"	"i would like to pay by post card"	"i would*z like to pay by post card"	"correct"	"correct"
"7588"	"Frag: ein Wasser ohne Kohlensäure"	"7588.wav"	"i would like a still water"	"i would like a still water"	"correct"	"correct"
"7589"	"Frag: ein Steak"	"7589.wav"	"i want the steak"	"i want the steak"	"correct"	"correct"
"7590"	"Frag: mein Steak medium"	"7590.wav"	"i would like my steak medium"	"i would like my steak medium*z"	"correct"	"correct"
"7591"	"Frag: die Tagessuppe"	"7591.wav"	"i would like the soap of the day"	"i would like the soap of the day"	"incorrect"	"incorrect"
"7592"	"Frag: die Tagessuppe"	"7592.wav"	"i would like a soap of the day"	"i would like a soap of the day"	"incorrect"	"incorrect"
"7593"	"Frag: die Tagessuppe"	"7593.wav"	"i would like the soup of the day"	"i would like the soup of the day"	"correct"	"correct"
"7594"	"Sag: Dies ist nicht was ich bestellt habe"	"7594.wav"	"this is not what i ordered"	"this is not what i wor*a ordered"	"correct"	"correct"
"7595"	"Frag: Ich möchte die Dessertkarte"	"7595.wav"	"the dessert menu please"	"the dessert m*a menu please"	"correct"	"correct"
"7596"	"Frag: Ich möchte die Dessertkarte"	"7596.wav"	"the dessert menu please"	"the dessert menu please"	"correct"	"correct"
"7597"	"Frag: Schokoladenglace"	"7597.wav"	"i would like the chocolate ice cream"	"i would like the chocolate m*a ice cream"	"correct"	"correct"
"7598"	"Frag: Ich möchte die Rechnung"	"7598.wav"	"i would like the check"	"i would like the check"	"correct"	"correct"
"7599"	"Sag: Ich möchte mit Postkarte bezahlen"	"7599.wav"	"i would i would like to pay by post card"	"i would i would like to pay by post card"	"correct"	"correct"
"7600"	"Sag: Ich möchte mit Postkarte bezahlen"	"7600.wav"	"i would like to pay by post card"	"i would like to pay by post card"	"correct"	"correct"
"7601"	"Frag: Wo ist die National Gallery?"	"7601.wav"	"i am looking for the national gallery"	"i am looking for the national*z gallery"	"correct"	"correct"
"7602"	"Frag: Wo ist das London Eye?"	"7602.wav"	"where is the london eye"	"where is the london eye"	"correct"	"correct"
"7603"	"Frag: Wo ist das London Eye?"	"7603.wav"	"where is the london eye"	"where is the london eye"	"correct"	"correct"
"7604"	"Frag: Welcher Bus fährt dorthin?"	"7604.wav"	"which bus goes there"	"which bus goes there"	"correct"	"correct"
"7605"	"Sag: Der Tower ist nahe der Tower Bridge"	"7605.wav"	"the tower is near tower bridge"	"the tower is near*z tower bridge"	"correct"	"correct"
"7606"	"Sag: Mir geht es gut"	"7606.wav"	"i'm good"	"i'm good"	"correct"	"correct"
"7607"	"Sag: Mir geht es gut"	"7607.wav"	"i'm good"	"i'm good"	"correct"	"correct"
"7608"	"Frag: Sandalen"	"7608.wav"	"i am looking for sandals"	"i am looking for sandals"	"correct"	"correct"
"7609"	"Frag: weisse Sandalen"	"7609.wav"	"do you have white sandals"	"do you have white*z sandals"	"correct"	"correct"
"7610"	"Frag: Grösse 40"	"7610.wav"	"i am a forty"	"i am a forty*z"	"correct"	"correct"
"7611"	"Frag: Grösse 40"	"7611.wav"	"i am a forty"	"i am a forty"	"correct"	"correct"
"7612"	"Frag: Jeans"	"7612.wav"	"i am looking for looking for jeans"	"i am looking*z for looking for jeans"	"correct"	"correct"
"7613"	"Frag: braune Jeans"	"7613.wav"	"brown jeans please"	"brown jeans please"	"correct"	"correct"
"7614"	"Frag: eine S"	"7614.wav"	"i am a small"	"i am a small"	"correct"	"correct"
"7615"	"Frag: Wie viel kostet es?"	"7615.wav"	"how much does it cost"	"how much does it cost"	"correct"	"correct"
"7616"	"Sag: Dies ist zu teuer"	"7616.wav"	"it is too expensive"	"it is too expensive"	"correct"	"correct"
"7617"	"Frag: 4 Musical-Tickets"	"7617.wav"	"i would like to buy four musical tickets"	"i would like to buy four*z musical tickets"	"correct"	"correct"
"7618"	"Frag: 4 Tickets für Montagabend"	"7618.wav"	"i want four tickets for monday night"	"i want four tickets for monday night"	"correct"	"correct"
"7619"	"Frag: 4 Tickets für Starlight Express"	"7619.wav"	"i want four tickets for starlight express"	"i want four tickets for starlight express"	"correct"	"correct"
"7620"	"Sag: Ich möchte in der achten Reihe sitzen"	"7620.wav"	"i want to sit in the eighth row"	"i want to sit in the eight row"	"correct"	"correct"
"7622"	"Frag: 2 Tickets"	"7622.wav"	"can i have two tickets"	"can i have two tickets"	"correct"	"correct"
"7623"	"Frag: ein Ticket nach Westminster"	"7623.wav"	"can you give me a ticket to westminster minster"	"can't you give me a ticket to westminster train*z station"	"incorrect"	"incorrect"
"7624"	"Sag: Ich möchte mit Visa bezahlen"	"7624.wav"	"can i pay with visa"	"can i pay with visa"	"correct"	"correct"
"7625"	"Sag: Ich möchte mit Visa bezahlen"	"7625.wav"	"can i pay with visa"	"can i pay with visa"	"correct"	"correct"
"7626"	"Sag: Ich möchte mit Pfund bezahlen"	"7626.wav"	"can i pay with pounds"	"can i pay with pounds"	"correct"	"correct"
"7628"	"Sag: Ich heisse Maddalena"	"7628.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"7629"	"Sag: Ich bin aus Portugal"	"7629.wav"	"i am from portugal"	"i am from portugal"	"correct"	"correct"
"7630"	"Sag: Die Hauptstadt von Portugal ist Lissabon"	"7630.wav"	"the capital of portugal is a"	"the capital of portugal is lis*a"	"incorrect"	"incorrect"
"7631"	"Sag: Ich habe 2 Brüder"	"7631.wav"	"i have two brothers"	"i have two brothers"	"correct"	"correct"
"7632"	"Sag: Ich gehe in die Ferien"	"7632.wav"	"i am going on holidays"	"i am going on holidays"	"incorrect"	"incorrect"
"7633"	"Sag: Dies ist mein Pass"	"7633.wav"	"yes it is my passport"	"yes it is my passport"	"correct"	"correct"
"7634"	"Frag: Zimmer für 7 Nächte"	"7634.wav"	"i want a room for seven nights"	"i want a room for seven nights"	"correct"	"correct"
"7635"	"Frag: Suite"	"7635.wav"	"i want a suite"	"i want a suite"	"correct"	"correct"
"7636"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"7636.wav"	"can i pay by credit cards"	"can i pay by credit cards"	"incorrect"	"correct"
"7637"	"Frag: Gibt es einen Lebensmittelladen?"	"7637.wav"	"is there a grocery store"	"is there a grocery store"	"correct"	"correct"
"7638"	"Frag: einen Tee"	"7638.wav"	"i would like a tea"	"i would like a tea"	"correct"	"correct"
"7639"	"Frag: einen Tee"	"7639.wav"	"i would like a tea"	"i would like a tea"	"correct"	"correct"
"7640"	"Frag: ein Steak"	"7640.wav"	"i want the steak"	"i want the steak"	"correct"	"correct"
"7641"	"Frag: mein Steak blau"	"7641.wav"	"i would like my steak blue"	"i would*z like my steak blue"	"correct"	"correct"
"7642"	"Frag: etwas Kartoffelstock"	"7642.wav"	"can i have mashed potato"	"can i have mashed*z potato*z"	"correct"	"correct"
"7643"	"Sag: Ich habe keine Reservation"	"7643.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7644"	"Sag: Ich habe keine Reservation"	"7644.wav"	"i don't have a reservation"	"i don't have a reservation*z"	"correct"	"correct"
"7645"	"Sag: Ich habe keine Reservation"	"7645.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7646"	"Sag: Ich habe keine Reservation"	"7646.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"7647"	"Sag: Ich habe keine Reservation"	"7647.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"7648"	"Sag: Ich habe keine Reservation"	"7648.wav"	"you can't use help at the silver level"	"you can't use help at the silver level"	"incorrect"	"incorrect"
"7649"	"Sag: Ich habe keine Reservation"	"7649.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7651"	"Frag: einen Tee"	"7651.wav"	"i would like a cheese"	"i would*z like a cheese"	"incorrect"	"incorrect"
"7652"	"Frag: einen Tee"	"7652.wav"	"i would like a tea"	"i would*z like a tea"	"correct"	"correct"
"7653"	"Frag: einen Tee"	"7653.wav"	"i would like a tea"	"i would*z like a tea"	"correct"	"correct"
"7654"	"Frag: ein Steak"	"7654.wav"	"i want the steak"	"i want the steak"	"correct"	"correct"
"7655"	"Frag: mein Steak rare"	"7655.wav"	"i would like my steak rare"	"i would*z like my steak rare"	"correct"	"correct"
"7656"	"Frag: Pommes Frittes"	"7656.wav"	"i would like some chips"	"i would*z like some chips"	"correct"	"correct"
"7657"	"Sag: Dies ist nicht was ich bestellt habe"	"7657.wav"	"this is not what i ordered"	"this is not what i ordered"	"correct"	"correct"
"7658"	"Frag: Ich möchte die Dessertkarte"	"7658.wav"	"the dessert menu please"	"the dessert menu please"	"correct"	"correct"
"7659"	"Frag: Ich möchte die Dessertkarte"	"7659.wav"	"the dessert menu please"	"the dessert menu please"	"correct"	"correct"
"7661"	"Frag: einen Kaffee"	"7661.wav"	"i would like a coffee"	"i would like a coffee"	"correct"	"correct"
"7662"	"Frag: einen Hamburger"	"7662.wav"	"i would like a hamburger"	"i would like a hamburger*z"	"correct"	"correct"
"7663"	"Frag: meinen Hamburger durchgebraten"	"7663.wav"	"i would like my hamburger well done"	"i would*z like my hamburger well done"	"correct"	"correct"
"7664"	"Frag: einen Baked Potato"	"7664.wav"	"a baked potato please"	"a baked*z potato*z please"	"correct"	"correct"
"7665"	"Frag: einen Baked Potato"	"7665.wav"	"a baked potato please"	"a baked*z potato*z please"	"correct"	"correct"
"7666"	"Frag: einen Baked Potato"	"7666.wav"	"a baked potato please"	"a baked potato*z please"	"correct"	"correct"
"7667"	"Frag: Ich möchte die Dessertkarte"	"7667.wav"	"the dessert menu please"	"the dessert menu please"	"correct"	"correct"
"7668"	"Frag: Rhabarberkuchen"	"7668.wav"	"i would like the rhubarb pie"	"i would*z like the rhubarb pie"	"correct"	"correct"
"7669"	"Frag: Rhabarberkuchen"	"7669.wav"	"i would like the rhubarb pie"	"i would*z like the rhubarb pie"	"correct"	"correct"
"7670"	"Frag: Rhabarberkuchen"	"7670.wav"	"i would like the rhubarb pie"	"i would*z like the rhubarb pie"	"correct"	"correct"
"7671"	"Frag: Ich möchte die Rechnung"	"7671.wav"	"i would like the check"	"i would*z like the check"	"correct"	"correct"
"7672"	"Sag: Ich möchte mit Mastercard bezahlen"	"7672.wav"	"can i pay with ma master card"	"can i pay with ma*a master card"	"correct"	"correct"
"7673"	"Frag: einen Orangensaft"	"7673.wav"	"i want an orange juice"	"i want an orange juice*z"	"correct"	"correct"
"7674"	"Frag: ein Steak"	"7674.wav"	"i want the steak"	"i want the steak"	"correct"	"correct"
"7675"	"Frag: mein Steak durchgebraten"	"7675.wav"	"can want my steak with euro"	"i want my steak with sone"	"incorrect"	"incorrect"
"7676"	"Frag: mein Steak durchgebraten"	"7676.wav"	"i want my steak well done"	"i want my steak well done*z"	"correct"	"correct"
"7677"	"Frag: mein Steak durchgebraten"	"7677.wav"	"i want my steak well"	"i want my steak well done*z"	"correct"	"correct"
"7678"	"Frag: etwas Knoblauchbrot"	"7678.wav"	"i want some garlic bread"	"i want some garlic*z bread*z"	"correct"	"correct"
"7679"	"Sag: Dies ist nicht was ich bestellt habe"	"7679.wav"	"this is not what i ordered"	"this is not what i ordered"	"correct"	"correct"
"7680"	"Sag: Dies ist nicht was ich bestellt habe"	"7680.wav"	"this is not what i ordered"	"this is not what i ordered"	"correct"	"correct"
"7681"	"Frag: Ich möchte die Dessertkarte"	"7681.wav"	"the dessert menu please"	"the dessert*z menu please"	"correct"	"correct"
"7682"	"Frag: Schokoladenglace"	"7682.wav"	"i want the chocolate ice cream"	"i want the chocolate ice cream"	"correct"	"correct"
"7683"	"Frag: Ich möchte die Rechnung"	"7683.wav"	"can i have the bill"	"can i have the bill"	"correct"	"correct"
"7684"	"Frag: Ich möchte die Rechnung"	"7684.wav"	"i would like the check"	"i would*z like the check"	"correct"	"correct"
"7685"	"Sag: Ich möchte mit Postkarte bezahlen"	"7685.wav"	"i would like to pay by post card"	"i would*z like to pay by post card"	"correct"	"correct"
"7688"	"Frag: eine Fanta"	"7688.wav"	"i want a fanta"	"i want a fanta"	"correct"	"correct"
"7689"	"Frag: einen Hamburger"	"7689.wav"	"i would like a hamburger"	"i would*z like a hamburger"	"correct"	"correct"
"7690"	"Frag: meinen Hamburger durchgebraten"	"7690.wav"	"i want a hamburger well done"	"i want a hamburger*z well done*z"	"correct"	"correct"
"7691"	"Frag: meinen Hamburger durchgebraten"	"7691.wav"	"i would like a hamburger well well done"	"i would like a hamburger*z well well done*z"	"correct"	"correct"
"7692"	"Frag: meinen Hamburger durchgebraten"	"7692.wav"	"i want a hamburger well done"	"i want a hamburger*z well done*z"	"correct"	"correct"
"7693"	"Frag: die Tagessuppe"	"7693.wav"	"can i have the soup of the day"	"can i have the soup*z of the day"	"correct"	"correct"
"7694"	"Frag: Ich möchte die Dessertkarte"	"7694.wav"	"the dessert menu please"	"the dessert menu please"	"correct"	"correct"
"7695"	"Frag: Himbeersorbet"	"7695.wav"	"i would like the raspberry sorbet"	"i would*z like the raspberry sorbet"	"correct"	"correct"
"7697"	"Sag: Ich möchte mit Mastercard bezahlen"	"7697.wav"	"i want to pay with mastercard"	"i want to pay with mastercard"	"correct"	"correct"
"7698"	"Frag: ein Wasser mit Kohlensäure"	"7698.wav"	"i want a carbonated water"	"i want the carbonants water"	"incorrect"	"correct"
"7699"	"Frag: ein Wasser mit Kohlensäure"	"7699.wav"	"i want a carbonated water"	"i want a carbonated water"	"correct"	"correct"
"7700"	"Frag: Zimmer für 5 Nächte"	"7700.wav"	"i want a room for five nights"	"i want a room for five nights"	"correct"	"correct"
"7701"	"Frag: Suite"	"7701.wav"	"can i have a suite"	"can i have a suite"	"correct"	"correct"
"7702"	"Sag: Ich möchte mit Visa bezahlen"	"7702.wav"	"i want to pay with visa"	"i want to pay with visa"	"correct"	"correct"
"7703"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"7703.wav"	"i want to pay with swiss francs"	"i want to pay with swiss francs"	"correct"	"correct"
"7704"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"7704.wav"	"i want to pay with swiss francs"	"i want to pay with swiss francs"	"correct"	"correct"
"7705"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"7705.wav"	"i want to pay with swiss francs"	"i want to pay with swiss francs"	"correct"	"correct"
"7706"	"Frag: Gibt es einen Coiffeur?"	"7706.wav"	"is there a hairdresser"	"is there a hairdresser"	"correct"	"correct"
"7707"	"Frag: Wo ist der Coiffeur?"	"7707.wav"	"where where is the hairdresser"	"where where is the hairdresser"	"correct"	"correct"
"7708"	"Sag: Ich habe keine Reservation"	"7708.wav"	"i have no uh reservation"	"i have no uh reservation"	"correct"	"correct"
"7710"	"Sag: Ich habe keine Reservation"	"7710.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7711"	"Sag: Ich habe keine Reservation"	"7711.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"7712"	"Sag: Ich habe keine Reservation"	"7712.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"7713"	"Sag: Ich habe keine Reservation"	"7713.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7714"	"Sag: Ich habe keine Reservation"	"7714.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7715"	"Sag: Ich habe keine Reservation"	"7715.wav"	"i don't have a reservation"	"i i no have a reservation"	"incorrect"	"correct"
"7716"	"Sag: Ich habe keine Reservation"	"7716.wav"	"i have no reservation"	"i have no reservation"	"correct"	"correct"
"7717"	"Sag: Ich habe keine Reservation"	"7717.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"
"7718"	"Sag: Mir geht es gut"	"7718.wav"	"i am good"	"i am good"	"correct"	"correct"
"7719"	"Frag: Stiefel"	"7719.wav"	"i would like some boots"	"i would*z like some boots"	"correct"	"correct"
"7720"	"Frag: rote Stiefel"	"7720.wav"	"red boots please"	"red boots please"	"correct"	"correct"
"7721"	"Frag: Grösse 37"	"7721.wav"	"i am a thirty-seven"	"i am a thirty-seven"	"correct"	"correct"
"7722"	"Frag: ein Hemd"	"7722.wav"	"i want a shirt"	"i want a shirt"	"correct"	"correct"
"7723"	"Frag: ein weisses Hemd"	"7723.wav"	"a white shirt please"	"a white shirt please"	"correct"	"correct"
"7724"	"Frag: eine S"	"7724.wav"	"i am a small"	"i am a small"	"correct"	"correct"
"7725"	"Sag: Dies ist zu gross"	"7725.wav"	"this is too big"	"this is too big"	"correct"	"correct"
"7726"	"Sag du möchtest nicht: dieses Hemd"	"7726.wav"	"i do not want this shirt"	"i do not want*z this shirt"	"correct"	"correct"
"7727"	"Sag, dass du es nicht möchtest"	"7727.wav"	"no i do not want this"	"no i do not want*z this"	"correct"	"correct"
"7728"	"Sag: Mir geht es gut"	"7728.wav"	"i am good"	"i am good"	"correct"	"correct"
"7729"	"Frag: Sandalen"	"7729.wav"	"i am looking for sandals"	"i am looking for sandals"	"correct"	"correct"
"7730"	"Frag: weisse Sandalen"	"7730.wav"	"do you have white sandals"	"do you have white*z sandals"	"correct"	"correct"
"7731"	"Frag: Grösse 43"	"7731.wav"	"i am a forty-three"	"i am a forty-three"	"correct"	"correct"
"7732"	"Frag: Jeans"	"7732.wav"	"i am looking for jeans"	"i am looking for jeans"	"correct"	"correct"
"7733"	"Frag: grüne Jeans"	"7733.wav"	"green jeans please"	"green jeans please"	"correct"	"correct"
"7734"	"Frag: eine S"	"7734.wav"	"i am a small"	"i am a small"	"correct"	"correct"
"7735"	"Frag: Wie viel kostet die Jeans?"	"7735.wav"	"how much does the jeans jeans cost"	"how much does the jeans jeans cost"	"incorrect"	"correct"
"7736"	"Sag: Dies ist zu teuer"	"7736.wav"	"it is too expensive"	"it is too expensive"	"correct"	"correct"
"7737"	"Sag: Mir geht es gut"	"7737.wav"	"i'm good"	"i'm good"	"correct"	"correct"
"7738"	"Frag: Sandalen"	"7738.wav"	"i am looking for sandals"	"i am looking for sandals"	"correct"	"correct"
"7741"	"Frag: ein Sweatshirt"	"7741.wav"	"i am looking for sweet shirt"	"i am looking for sweet shirt"	"incorrect"	"incorrect"
"7742"	"Frag: ein schwarzes Sweatshirt"	"7742.wav"	"can i have a black sweet shirt"	"can i have a black sweet shirt"	"incorrect"	"incorrect"
"7744"	"Frag: Wie viel kostet es?"	"7744.wav"	"how much costed this"	"how much costed this"	"incorrect"	"correct"
"7746"	"Sag: Mir geht es gut"	"7746.wav"	"i'm good"	"i'm good"	"correct"	"correct"
"7747"	"Frag: Stiefel"	"7747.wav"	"i am looking for boots"	"i am looking for boots"	"correct"	"correct"
"7748"	"Frag: weisse Stiefel"	"7748.wav"	"can i have white boots"	"can i have white boots"	"correct"	"correct"
"7749"	"Frag: Grösse 37"	"7749.wav"	"i am thirty-seven"	"i am thirty-seven"	"incorrect"	"correct"
"7750"	"Frag: Jeans"	"7750.wav"	"i am looking for jeans"	"i am looking for jeans"	"correct"	"correct"
"7751"	"Frag: weisse Jeans"	"7751.wav"	"can i have a white jeans"	"can i have a white jeans"	"incorrect"	"correct"
"7752"	"Frag: eine S"	"7752.wav"	"i am a small"	"i am a small"	"correct"	"correct"
"7753"	"Sag: Dies ist zu klein"	"7753.wav"	"it is too small"	"it is too small"	"correct"	"correct"
"7754"	"Sag du möchtest nicht: diese Jeans"	"7754.wav"	"i don't want these jeans"	"i don't want these jeans"	"correct"	"correct"
